Date,Spot Price,Futures Price,Open Int,Change in OI,Underlying Value,Basis,% Basis,Lot Size * Price,Margin Account Change,Margin Account,Margin Call,Futures Spread,Futures Bid,Futures Ask,Spot Spread,Spot Bid,Spot Ask,TTM
03-Oct-2023,44399.05,44621.45,2048685,-55650,44399.05,-222.4,-0.50%,1115536.25,"111,553.625","111,553.625",FALSE,0.3813823943,44621.25931,44621.45,-3.334251255,44400.71713,44397.38287,0.0602739726
04-Oct-2023,43964.05,44214.15,2660190,611505,43964.05,-250.1,-0.57%,1105353.75,-10182.5,"101,371.125",FALSE,2.207644752,44213.04618,44214.15,1.072010143,43963.51399,43964.58601,0.05753424658
05-Oct-2023,44213.35,44411.7,2540265,-119925,44213.35,-198.35,-0.45%,1110292.5,4938.75,"106,309.875",FALSE,7.628150875,44407.88592,44411.7,5.562811462,44210.56859,44216.13141,0.05479452055
06-Oct-2023,44360.6,44510.2,2505315,-34950,44360.6,-149.6,-0.34%,1112755,2462.5,"108,772.375",FALSE,2.624924735,44508.88754,44510.2,-5.154825866,44363.17741,44358.02259,0.05205479452
09-Oct-2023,43886.5,44010.45,2565675,60360,43886.5,-123.95,-0.28%,1100261.25,-12493.75,"96,278.625",FALSE,14.52013651,44003.18993,44010.45,3.292649674,43884.85368,43888.14632,0.04383561644
10-Oct-2023,44360.15,44530.3,2293560,-272115,44360.15,-170.15,-0.38%,1113257.5,12996.25,"109,274.875",FALSE,27.76145788,44516.41927,44530.3,0.5550791184,44359.87246,44360.42754,0.04109589041
11-Oct-2023,44516.9,44685.55,2163255,-130305,44516.9,-168.65,-0.38%,1117138.75,3881.25,"113,156.125",FALSE,25.71502466,44672.69249,44685.55,-9.379871772,44521.58994,44512.21006,0.03835616438
12-Oct-2023,44599.2,44747.95,2090040,-73215,44599.2,-148.75,-0.33%,1118698.75,1560,"114,716.125",FALSE,7.903604717,44743.9982,44747.95,8.348036939,44595.02598,44603.37402,0.03561643836
13-Oct-2023,44287.95,44394.05,2310495,220455,44287.95,-106.1,-0.24%,1109851.25,-8847.5,"105,868.625",FALSE,22.33926286,44382.88037,44394.05,-0.9451359347,44288.42257,44287.47743,0.03287671233
16-Oct-2023,44225.9,44343.05,2257875,-52620,44225.9,-117.15,-0.26%,1108576.25,-1275,"104,593.625",FALSE,-1.367719419,44343.73386,44343.05,7.341257122,44222.22937,44229.57063,0.02465753425
17-Oct-2023,44409.5,44493.7,2101620,-156255,44409.5,-84.2,-0.19%,1112342.5,3766.25,"108,359.875",FALSE,1.491169297,44492.95442,44493.7,1.029436357,44408.98528,44410.01472,0.02191780822
18-Oct-2023,43888.7,44053.4,2692005,590385,43888.7,-164.7,-0.38%,1101335,-11007.5,"97,352.375",FALSE,7.809471531,44049.49526,44053.4,-5.553005234,43891.4765,43885.9235,0.01917808219
19-Oct-2023,43754.5,43845.15,2416260,-275745,43754.5,-90.65,-0.21%,1096128.75,-5206.25,"92,146.125",FALSE,-0.134184396,43845.21709,43845.15,-4.680603158,43756.8403,43752.1597,0.01643835616
20-Oct-2023,43723.05,43738.75,2026200,-390060,43723.05,-15.7,-0.04%,1093468.75,-2660,"89,486.125",FALSE,4.140732318,43736.67963,43738.75,5.955242261,43720.07238,43726.02762,0.01369863014
23-Oct-2023,43151.2,43141.6,1570500,-455700,43151.2,9.6,0.02%,1078540,-14928.75,"74,557.375",TRUE,-3.388969466,43143.29448,43142.1,10.4821751,43145.95891,43156.44109,0.005479452055
25-Oct-2023,42832,42811.55,1188690,-381810,42832,20.45,0.05%,1070288.75,-8251.25,"66,306.125",TRUE,5.567028435,42808.76649,42812.05,-1.504838943,42832.75242,42831.24758,0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
IMPORTANT DETALS:,,,,,,,,,,,,,,,,,,
Expiry,26-Oct-2023,,,,,,,,,,,,,,,,,
Lot Size,25,,,,,,,,,,,,,,,,,
Initial Margin,0.1,,,,,,,,,,,,,,,,,
Initial Margin Amount,"111,553.625",,,,,,,,,,,,,,,,,
Maintenance Margin,0.08,,,,,,,,,,,,,,,,,
Maintenance Margin Amount,89242.9,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Final Increase in Margin,"-45,247.500",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Std Deviation of Basis,78.17330746,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Settlement Excess,-511.25,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Final Profit ( i.e. Loss ),"-45,758.750",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Average Futures Spread,5,,,,,,,,,,,,,,,,,
Assumed Std. of Spread,10,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Average Spot Spread,3,,,,,,,,,,,,,,,,,
Assumed Std. of Spread,5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Number of Contracts,1,,,,,,,,,,,,,,,,,
